Source IP,Destination IP,Protocol,Source Port,Destination Port,Packet Length,Relative Time,cluster,dbscan_cluster,anomaly
192.168.29.1,192.168.29.59,TCP,53,62912,54,1750930525.34194,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62913,54,1750930525.346463,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62911,55,1750930525.363344,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62912,55,1750930525.363588,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62913,55,1750930525.367042,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930525.401253,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,302,1750930525.401491,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,54,1750930525.406469,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,54,1750930525.406599,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,54,1750930525.406641,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62911,127,1750930525.40911,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62912,115,1750930525.40911,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62913,156,1750930525.40911,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,54,1750930525.40987,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,54,1750930525.409982,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,54,1750930525.41005,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62913,54,1750930525.41186,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62912,54,1750930525.412042,0,0,1
192.168.29.59,192.168.29.1,TCP,62913,53,54,1750930525.412127,0,0,1
192.168.29.59,192.168.29.1,TCP,62912,53,54,1750930525.412293,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62911,54,1750930525.412465,0,0,1
192.168.29.59,192.168.29.1,TCP,62911,53,54,1750930525.412647,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930525.459214,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930525.460004,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,268,1750930525.46027,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.460436,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930525.586509,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,303,1750930525.587581,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930525.644089,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930525.644973,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930525.645755,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930525.645755,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.645981,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.69016,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930525.839447,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,304,1750930525.840984,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,54,1750930525.898064,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930525.898503,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,268,1750930525.898503,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930525.898745,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930526.007304,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,305,1750930526.007637,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930526.06352,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930526.06352,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930526.064237,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930526.064237,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.064416,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.10993,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,131,1750930526.168148,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,306,1750930526.169034,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,56,1750930526.232256,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,109,1750930526.232256,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,202,1750930526.232256,0,0,1
202.163.7.42,192.168.29.59,TCP,443,61453,149,1750930526.232256,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.232741,0,0,1
192.168.29.59,202.163.7.42,TCP,61453,443,54,1750930526.27543,0,0,1
192.168.29.59,192.168.29.1,TCP,62915,53,66,1750930526.411735,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,66,1750930526.412266,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,66,1750930526.412634,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62915,66,1750930526.422653,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62916,66,1750930526.422653,0,0,1
192.168.29.59,192.168.29.1,TCP,62915,53,54,1750930526.423008,0,0,1
192.168.29.59,192.168.29.1,TCP,62916,53,54,1750930526.423123,0,0,1
192.168.29.1,192.168.29.59,TCP,53,62917,66,1750930526.423343,0,0,1
192.168.29.59,192.168.29.1,TCP,62917,53,54,1750930526.423484,0,0,1
